from_id,to_id,to_name,relationship_type,sentiment,source_column
Feature_120,Component_0,漆面,HAS_COMPONENT,positive,appearance_paint_color_negative
Feature_90,Component_1,车漆颜色,HAS_COMPONENT,positive,appearance_paint_color_negative
Feature_94,Component_1,车漆颜色,HAS_COMPONENT,positive,appearance_paint_color_negative
Feature_136,Component_23,造型,HAS_COMPONENT,positive,appearance_paint_color_negative
Feature_144,Component_3,色,HAS_COMPONENT,positive,appearance_paint_color_negative
Feature_76,Component_5,车身,HAS_COMPONENT,positive,appearance_overall_positive
Feature_76,Component_37,高度,HAS_COMPONENT,positive,appearance_overall_positive
Feature_77,Component_13,前脸,HAS_COMPONENT,positive,appearance_overall_positive
Feature_79,Component_23,造型,HAS_COMPONENT,positive,appearance_overall_positive
Feature_87,Component_23,造型,HAS_COMPONENT,positive,appearance_overall_positive
Feature_80,Component_26,银河式贯穿灯,HAS_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_23,座椅,HAS_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_6,活动天幕,HAS_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_3,尾门,HAS_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_26,储物盒,HAS_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_26,电动发罩,HAS_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_26,扰流板,HAS_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_5,悬浮式车顶,HAS_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_26,尾门小桌板,HAS_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_13,涉水深度,HAS_COMPONENT,positive,appearance_overall_positive
Feature_84,Component_5,外形,HAS_COMPONENT,positive,appearance_overall_positive
Feature_133,Component_5,外形,HAS_COMPONENT,positive,appearance_overall_positive
Feature_84,Component_5,黑色,HAS_COMPONENT,positive,appearance_overall_positive
Feature_88,Component_5,辨识度,HAS_COMPONENT,positive,appearance_overall_positive
Feature_88,Component_5,个性,HAS_COMPONENT,positive,appearance_overall_positive
Feature_89,Component_5,外观,HAS_COMPONENT,positive,appearance_overall_positive
Feature_91,Component_5,外观,HAS_COMPONENT,positive,appearance_overall_positive
Feature_124,Component_5,外观,HAS_COMPONENT,positive,appearance_overall_positive
Feature_129,Component_5,外观,HAS_COMPONENT,positive,appearance_overall_positive
Feature_142,Component_5,外观,HAS_COMPONENT,positive,appearance_overall_positive
Feature_90,Component_5,车身外造型,HAS_COMPONENT,positive,appearance_overall_positive
Feature_90,Component_5,车身比例,HAS_COMPONENT,positive,appearance_overall_positive
Feature_94,Component_5,车身比例,HAS_COMPONENT,positive,appearance_overall_positive
Feature_90,Component_5,线条设计,HAS_COMPONENT,positive,appearance_overall_positive
Feature_90,Component_5,车身美学,HAS_COMPONENT,positive,appearance_overall_positive
Feature_90,Component_5,视觉冲击力,HAS_COMPONENT,positive,appearance_overall_positive
Feature_94,Component_5,运动姿态,HAS_COMPONENT,positive,appearance_overall_positive
Feature_95,Component_5,线条,HAS_COMPONENT,positive,appearance_overall_positive
Feature_132,Component_5,线条,HAS_COMPONENT,positive,appearance_overall_positive
Feature_138,Component_5,线条,HAS_COMPONENT,positive,appearance_overall_positive
Feature_143,Component_5,线条,HAS_COMPONENT,positive,appearance_overall_positive
Feature_97,Component_26,灯光设计,HAS_COMPONENT,positive,appearance_overall_positive
Feature_97,Component_5,门把手,HAS_COMPONENT,positive,appearance_overall_positive
Feature_97,Component_5,D柱,HAS_COMPONENT,positive,appearance_overall_positive
Feature_97,Component_5,车漆,HAS_COMPONENT,positive,appearance_overall_positive
Feature_97,Component_1,内饰,HAS_COMPONENT,positive,appearance_overall_positive
Feature_102,Component_5,鲨鱼形态,HAS_COMPONENT,positive,appearance_overall_positive
Feature_111,Component_3,掀背门,HAS_COMPONENT,positive,appearance_overall_positive
Feature_111,Component_26,卡钳罩,HAS_COMPONENT,positive,appearance_overall_positive
Feature_117,Component_26,前灯,HAS_COMPONENT,positive,appearance_overall_positive
Feature_117,Component_26,后灯,HAS_COMPONENT,positive,appearance_overall_positive
Feature_122,Component_36,整体,HAS_COMPONENT,positive,appearance_overall_positive
Feature_126,Component_36,整体,HAS_COMPONENT,positive,appearance_overall_positive
Feature_123,Component_37,尺寸,HAS_COMPONENT,positive,appearance_overall_positive
Feature_124,Component_5,轿跑,HAS_COMPONENT,positive,appearance_overall_positive
Feature_125,Component_37,整体尺寸,HAS_COMPONENT,positive,appearance_overall_positive
Feature_125,Component_5,比例,HAS_COMPONENT,positive,appearance_overall_positive
Feature_125,Component_5,面包车,HAS_COMPONENT,positive,appearance_overall_positive
Feature_127,Component_5,简约,HAS_COMPONENT,positive,appearance_overall_positive
Feature_127,Component_5,大气,HAS_COMPONENT,positive,appearance_overall_positive
Feature_129,Component_5,大气,HAS_COMPONENT,positive,appearance_overall_positive
Feature_127,Component_5,精致,HAS_COMPONENT,positive,appearance_overall_positive
Feature_127,Component_5,原创性,HAS_COMPONENT,positive,appearance_overall_positive
Feature_128,Component_5,侧面,HAS_COMPONENT,positive,appearance_overall_positive
Feature_128,Component_26,尾翼,HAS_COMPONENT,positive,appearance_overall_positive
Feature_129,Component_5,厚重,HAS_COMPONENT,positive,appearance_overall_positive
Feature_130,Component_5,外造型,HAS_COMPONENT,positive,appearance_overall_positive
Feature_134,Component_5,车体,HAS_COMPONENT,positive,appearance_overall_positive
Feature_137,Component_5,整体比例,HAS_COMPONENT,positive,appearance_overall_positive
Feature_140,Component_5,SUV造型,HAS_COMPONENT,positive,appearance_overall_positive
Feature_142,Component_26,发罩,HAS_COMPONENT,positive,appearance_overall_positive
Feature_142,Component_26,分缝形式,HAS_COMPONENT,positive,appearance_overall_positive
Feature_76,Component_5,车身,HAS_COMPONENT,positive,appearance_overall_positive
Feature_76,Component_37,高度,HAS_COMPONENT,positive,appearance_overall_positive
Feature_77,Component_13,前脸,HAS_COMPONENT,positive,appearance_overall_positive
Feature_79,Component_23,造型,HAS_COMPONENT,positive,appearance_overall_positive
Feature_87,Component_23,造型,HAS_COMPONENT,positive,appearance_overall_positive
Feature_80,Component_26,银河式贯穿灯,HAS_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_23,座椅,HAS_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_6,活动天幕,HAS_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_3,尾门,HAS_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_26,储物盒,HAS_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_26,电动发罩,HAS_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_26,扰流板,HAS_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_5,悬浮式车顶,HAS_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_26,尾门小桌板,HAS_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_13,涉水深度,HAS_COMPONENT,positive,appearance_overall_positive
Feature_84,Component_5,外形,HAS_COMPONENT,positive,appearance_overall_positive
Feature_133,Component_5,外形,HAS_COMPONENT,positive,appearance_overall_positive
Feature_84,Component_5,黑色,HAS_COMPONENT,positive,appearance_overall_positive
Feature_88,Component_5,辨识度,HAS_COMPONENT,positive,appearance_overall_positive
Feature_88,Component_5,个性,HAS_COMPONENT,positive,appearance_overall_positive
Feature_89,Component_5,外观,HAS_COMPONENT,positive,appearance_overall_positive
Feature_91,Component_5,外观,HAS_COMPONENT,positive,appearance_overall_positive
Feature_124,Component_5,外观,HAS_COMPONENT,positive,appearance_overall_positive
Feature_129,Component_5,外观,HAS_COMPONENT,positive,appearance_overall_positive
Feature_142,Component_5,外观,HAS_COMPONENT,positive,appearance_overall_positive
Feature_90,Component_5,车身外造型,HAS_COMPONENT,positive,appearance_overall_positive
Feature_90,Component_5,车身比例,HAS_COMPONENT,positive,appearance_overall_positive
Feature_94,Component_5,车身比例,HAS_COMPONENT,positive,appearance_overall_positive
Feature_90,Component_5,线条设计,HAS_COMPONENT,positive,appearance_overall_positive
Feature_90,Component_5,车身美学,HAS_COMPONENT,positive,appearance_overall_positive
Feature_90,Component_5,视觉冲击力,HAS_COMPONENT,positive,appearance_overall_positive
Feature_94,Component_5,运动姿态,HAS_COMPONENT,positive,appearance_overall_positive
Feature_95,Component_5,线条,HAS_COMPONENT,positive,appearance_overall_positive
Feature_132,Component_5,线条,HAS_COMPONENT,positive,appearance_overall_positive
Feature_138,Component_5,线条,HAS_COMPONENT,positive,appearance_overall_positive
Feature_143,Component_5,线条,HAS_COMPONENT,positive,appearance_overall_positive
Feature_97,Component_26,灯光设计,HAS_COMPONENT,positive,appearance_overall_positive
Feature_97,Component_5,门把手,HAS_COMPONENT,positive,appearance_overall_positive
Feature_97,Component_5,D柱,HAS_COMPONENT,positive,appearance_overall_positive
Feature_97,Component_5,车漆,HAS_COMPONENT,positive,appearance_overall_positive
Feature_97,Component_1,内饰,HAS_COMPONENT,positive,appearance_overall_positive
Feature_102,Component_5,鲨鱼形态,HAS_COMPONENT,positive,appearance_overall_positive
Feature_111,Component_3,掀背门,HAS_COMPONENT,positive,appearance_overall_positive
Feature_111,Component_26,卡钳罩,HAS_COMPONENT,positive,appearance_overall_positive
Feature_117,Component_26,前灯,HAS_COMPONENT,positive,appearance_overall_positive
Feature_117,Component_26,后灯,HAS_COMPONENT,positive,appearance_overall_positive
Feature_122,Component_36,整体,HAS_COMPONENT,positive,appearance_overall_positive
Feature_126,Component_36,整体,HAS_COMPONENT,positive,appearance_overall_positive
Feature_123,Component_37,尺寸,HAS_COMPONENT,positive,appearance_overall_positive
Feature_124,Component_5,轿跑,HAS_COMPONENT,positive,appearance_overall_positive
Feature_125,Component_37,整体尺寸,HAS_COMPONENT,positive,appearance_overall_positive
Feature_125,Component_5,比例,HAS_COMPONENT,positive,appearance_overall_positive
Feature_125,Component_5,面包车,HAS_COMPONENT,positive,appearance_overall_positive
Feature_127,Component_5,简约,HAS_COMPONENT,positive,appearance_overall_positive
Feature_127,Component_5,大气,HAS_COMPONENT,positive,appearance_overall_positive
Feature_129,Component_5,大气,HAS_COMPONENT,positive,appearance_overall_positive
Feature_127,Component_5,精致,HAS_COMPONENT,positive,appearance_overall_positive
Feature_127,Component_5,原创性,HAS_COMPONENT,positive,appearance_overall_positive
Feature_128,Component_5,侧面,HAS_COMPONENT,positive,appearance_overall_positive
Feature_128,Component_26,尾翼,HAS_COMPONENT,positive,appearance_overall_positive
Feature_129,Component_5,厚重,HAS_COMPONENT,positive,appearance_overall_positive
Feature_130,Component_5,外造型,HAS_COMPONENT,positive,appearance_overall_positive
Feature_134,Component_5,车体,HAS_COMPONENT,positive,appearance_overall_positive
Feature_137,Component_5,整体比例,HAS_COMPONENT,positive,appearance_overall_positive
Feature_140,Component_5,SUV造型,HAS_COMPONENT,positive,appearance_overall_positive
Feature_142,Component_26,发罩,HAS_COMPONENT,positive,appearance_overall_positive
Feature_142,Component_26,分缝形式,HAS_COMPONENT,positive,appearance_overall_positive
Feature_74,Component_26,灯具,HAS_COMPONENT,positive,appearance_overall_negative
Feature_76,Component_5,车尾,HAS_COMPONENT,positive,appearance_overall_negative
Feature_77,Component_5,后尾部,HAS_COMPONENT,positive,appearance_overall_negative
Feature_81,Component_23,6坐空间,HAS_COMPONENT,positive,appearance_overall_negative
Feature_82,Component_26,仪表,HAS_COMPONENT,positive,appearance_overall_negative
Feature_83,Component_26,细节部分,HAS_COMPONENT,positive,appearance_overall_negative
Feature_84,Component_5,外造型,HAS_COMPONENT,positive,appearance_overall_negative
Feature_84,Component_26,微细节,HAS_COMPONENT,positive,appearance_overall_negative
Feature_87,Component_13,前脸,HAS_COMPONENT,positive,appearance_overall_negative
Feature_93,Component_13,前脸,HAS_COMPONENT,positive,appearance_overall_negative
Feature_98,Component_13,前脸,HAS_COMPONENT,positive,appearance_overall_negative
Feature_110,Component_13,前脸,HAS_COMPONENT,positive,appearance_overall_negative
Feature_111,Component_13,前脸,HAS_COMPONENT,positive,appearance_overall_negative
Feature_117,Component_13,前脸,HAS_COMPONENT,positive,appearance_overall_negative
Feature_88,Component_5,门把手,HAS_COMPONENT,positive,appearance_overall_negative
Feature_129,Component_5,门把手,HAS_COMPONENT,positive,appearance_overall_negative
Feature_90,Component_10,车身外钣金件,HAS_COMPONENT,positive,appearance_overall_negative
Feature_90,Component_26,接缝,HAS_COMPONENT,positive,appearance_overall_negative
Feature_93,Component_26,前备箱,HAS_COMPONENT,positive,appearance_overall_negative
Feature_96,Component_26,车顶摄像头,HAS_COMPONENT,positive,appearance_overall_negative
Feature_98,Component_5,侧面,HAS_COMPONENT,positive,appearance_overall_negative
Feature_99,Component_26,鲨鱼鳍,HAS_COMPONENT,positive,appearance_overall_negative
Feature_99,Component_5,后背,HAS_COMPONENT,positive,appearance_overall_negative
Feature_104,Component_5,车头,HAS_COMPONENT,positive,appearance_overall_negative
Feature_105,Component_2,车型,HAS_COMPONENT,positive,appearance_overall_negative
Feature_105,Component_5,颜色,HAS_COMPONENT,positive,appearance_overall_negative
Feature_105,Component_16,配置,HAS_COMPONENT,positive,appearance_overall_negative
Feature_107,Component_37,车高,HAS_COMPONENT,positive,appearance_overall_negative
Feature_107,Component_37,车宽,HAS_COMPONENT,positive,appearance_overall_negative
Feature_108,Component_23,设计,HAS_COMPONENT,positive,appearance_overall_negative
Feature_109,Component_5,尾部,HAS_COMPONENT,positive,appearance_overall_negative
Feature_113,Component_5,尾部,HAS_COMPONENT,positive,appearance_overall_negative
Feature_117,Component_5,尾部,HAS_COMPONENT,positive,appearance_overall_negative
Feature_116,Component_26,轮辋,HAS_COMPONENT,positive,appearance_overall_negative
Feature_120,Component_26,轮毂,HAS_COMPONENT,positive,appearance_overall_negative
Feature_120,Component_5,A柱,HAS_COMPONENT,positive,appearance_overall_negative
Feature_123,Component_28,后四窗,HAS_COMPONENT,positive,appearance_overall_negative
Feature_125,Component_26,亮饰条,HAS_COMPONENT,positive,appearance_overall_negative
Feature_126,Component_5,车身,HAS_COMPONENT,positive,appearance_overall_negative
Feature_127,Component_26,发盖,HAS_COMPONENT,positive,appearance_overall_negative
Feature_127,Component_26,分缝,HAS_COMPONENT,positive,appearance_overall_negative
Feature_140,Component_13,前脸灯,HAS_COMPONENT,positive,appearance_overall_negative
Feature_140,Component_26,保险杠,HAS_COMPONENT,positive,appearance_overall_negative
Feature_143,Component_35,制造工艺,HAS_COMPONENT,positive,appearance_overall_negative
Feature_144,Component_23,造型,HAS_COMPONENT,positive,appearance_overall_negative
